公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,薪资,职位福利,经营范围,职位类型,公司福利,第二职位类型,城市
风变科技（深圳）有限公司,风变科技（深圳）有限公司,500-2000人,B轮,南山区,python后端组长,3-5年,本科,15k-20k,"大佬带队,小组制度,新技术探索","移动互联网,教育",开发|测试|运维类,"['专项奖金', '带薪年假', '定期体检', '六险一金']",后端开发,深圳
深圳虾皮信息科技有限公司,Shopee,2000人以上,上市公司,南山区,Python数据工程师,不限,不限,10k-20k,发展空间大,电商,开发|测试|运维类,"['外企氛围', '蓝海市场', '大牛多多', '15天年假']",后端开发,深圳
弘量科技（深圳）有限公司,弘量科技（深圳）有限公司,50-150人,B轮,南山区,Python工程师,1-3年,本科,15k-30k,"互联网金融,智能投顾,弹性工作",金融,开发|测试|运维类,"['优秀同事', '股票期权', '年终分红', '带薪年假']",后端开发,深圳
北京众标智能科技有限公司上海分公司,众标智能科技,50-150人,A轮,宝山区,python开发工程师,1-3年,本科,15k-20k,"前景好,大数据,福利待遇好,大牛多","电商,企业服务",开发|测试|运维类,"['股票期权', '带薪年假', '年度旅游', '扁平管理']",后端开发,上海
成都青觉科技有限公司,青觉科技,少于15人,不需要融资,高新区,Python工程师,1-3年,本科,9k-15k,高竞争、高收入,"金融,软件开发",开发|测试|运维类,[],后端开发,成都
易宝软件科技（南京）有限公司,易宝软件科技（南京）有限公司,150-500人,上市公司,东莞市市辖区,python开发,1-3年,本科,6k-12k,周末双休弹性工时丰富团建活动领导nice,移动互联网,开发|测试|运维类,[],后端开发,东莞
腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,南山区,python高级开发工程师,5-10年,本科,25k-50k,发展前景,社交,开发|测试|运维类,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",后端开发,深圳
腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,海淀区,python后台开发（深圳）,3-5年,本科,30k-50k,大平台,社交,开发|测试|运维类,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",后端开发,北京
厦门众库科技有限公司,厦门众库科技有限公司,150-500人,未融资,思明区,Python工程师,1-3年,本科,7k-12k,五险一金，氛围年轻化,"数据服务,消费生活",开发|测试|运维类,"['带薪年假', '专项奖金', '节日礼物', '管理规范']",后端开发,厦门
腾讯科技（深圳）有限公司,腾讯,2000人以上,上市公司,高新区,Python高级开发工程师,3-5年,本科,25k-50k,大平台,社交,开发|测试|运维类,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",后端开发,成都
北京颐顺太和软件科技有限公司,新东方,2000人以上,上市公司,海淀区,Python工程师,3-5年,本科,20k-40k,上市公司、发展空间大、福利好、国内外旅游,教育,开发|测试|运维类,[],后端开发,北京
长沙电视台政法频道,政法频道,150-500人,不需要融资,雨花区,Python工程师,1-3年,大专,10k-16k,六险一金 带薪年假 体检 年终奖,其他,开发|测试|运维类,[],后端开发,长沙
成都西山居互动娱乐科技有限公司珠海分公司,西山居游戏,2000人以上,不需要融资,海淀区,Python游戏研发,3-5年,本科,15k-30k,六险一金，包三餐，年终奖，项目奖金,游戏,开发|测试|运维类,"['绩效奖金', '股票期权', '专项奖金', '年底双薪']",后端开发,北京
深圳数池科技有限公司,数池科技,少于15人,天使轮,南山区,Python开发工程师,3-5年,本科,20k-35k,大牛指导/工作氛围轻松/上升空间大,"企业服务,社交",开发|测试|运维类,[],后端开发,深圳
一点网聚科技有限公司,一点资讯,500-2000人,D轮及以上,朝阳区,python工程师,应届毕业生,本科,15k-30k,"精英团队,发展空间大,工作氛围好",文娱丨内容,开发|测试|运维类,"['带薪年假', '午餐补助', '扁平管理', '弹性工作']",后端开发,北京
成都链安科技有限公司,链安科技,50-150人,A轮,武侯区,python工程师,3-5年,本科,15k-30k,行业前景、薪酬诱惑、、环境nice,"移动互联网,信息安全",开发|测试|运维类,"['股票期权', '带薪年假', '定期体检']",数据开发,成都
北京云英传奇技术有限公司,CloudIn,50-150人,A轮,朝阳区,python开发工程师,1-3年,本科,15k-25k,五险一金 弹性上班 发展空间大,"移动互联网,数据服务",开发|测试|运维类,"['绩效奖金', '定期体检', '带薪年假', '弹性工作']",后端开发,北京
广州游爱网络技术有限公司,广州游爱,500-2000人,上市公司,天河区,python开发工程师,1-3年,大专,7k-12k,"双休,五险一金,包三餐,年底双薪","移动互联网,游戏",开发|测试|运维类,"['年终分红', '绩效奖金', '专项奖金', '年底双薪']",后端开发,广州
云势天下（北京）软件有限公司,云势软件,150-500人,B轮,甘井子区,Python开发工程师,3-5年,大专,10k-15k,六险一金；扁平化管理；超长年假+带薪病假,企业服务,开发|测试|运维类,"['年底双薪', '专项奖金', '绩效奖金', '带薪年假']",后端开发,大连
蓝月亮（中国）有限公司,蓝月亮,2000人以上,不需要融资,天河区,python开发工程师,1-3年,本科,13k-18k,大平台 双休 五险一金,消费生活,开发|测试|运维类,"['五险一金', '带薪年假', '免费班车', '定期体检']",后端开发,广州
河南八六三软件股份有限公司,863软件,500-2000人,未融资,闵行区,Python开发工程师,3-5年,大专,8k-12k,周末双休、五险一金、带薪年假、餐补、交补,移动互联网,开发|测试|运维类,[],后端开发,上海
深圳市铱硙医疗科技有限公司,脑医生,15-50人,A轮,南山区,python开发工程师,1-3年,本科,10k-15k,"人工智能,高端前沿,前景广阔","医疗丨健康,数据服务",开发|测试|运维类,"['专项奖金', '带薪年假', '领导好', '五险一金']",后端开发,深圳
